,Provider,deductible_mean_ip,reimbursement_mean_ip,reimbursement_std_ip,DiagnosisGroupCode_nunique_ip,age_mean_ip,age_std_ip,inpatient_duration_mean_ip,inpatient_duration_std_ip,claim_duration_mean_ip,claim_duration_std_ip,total_claim_mean_ip,total_claim_std_ip,total_claim_amount_ip,covered_percentage_mean_ip,covered_percentage_std_ip,Race_nunique_ip,Gender_mean_ip,num_chronic_conditions_mean_ip,number_chronic_conditions_max_ip,claim_count_ip,attending_ratio_ip,operating_ratio_ip,other_ratio_ip,patient_ratio_ip,num_state_ip,num_county_ip,claim_freq_ip,mean_diagnosis_billed_ip,mean_procedures_billed_ip,total_reimbursement_ip,deductible_mean_op,reimbursement_mean_op,reimbursement_std_op,age_mean_op,age_std_op,claim_duration_mean_op,claim_duration_std_op,total_claim_mean_op,total_claim_std_op,total_claim_amount_op,covered_percentage_mean_op,covered_percentage_std_op,Race_nunique_op,Gender_mean_op,num_chronic_conditions_mean_op,number_chronic_conditions_max_op,claim_count_op,attending_ratio_op,operating_ratio_op,other_ratio_op,patient_ratio_op,num_state_op,num_county_op,claim_freq_op,mean_diagnosis_billed_op,mean_procedures_billed_op,total_reimbursement_op,inpatient_practice,outpatient_practice
0,PRV51001,1068.0,19400.0,18352.11159512714,5.0,77.6,10.43072384832424,5.0,5.385164807134504,5.0,5.385164807134504,20468.0,18352.11159512714,102340.0,0.8782785695830979,0.10883263134760862,1.0,1.6,6.0,10.0,5.0,0.8,0.4,0.2,1.0,4.0,5.0,0.4166666666666667,7.2,0.6,97000.0,0.0,382.0,422.817616522899,77.95,12.454020699314233,0.55,2.0124611797498106,382.0,422.817616522899,7640.0,1.0,0.0,2.0,1.65,5.45,9.0,20.0,0.5,0.15,0.35,0.95,5.0,5.0,1.6666666666666667,2.2,0.0,7640.0,1,1
1,PRV51003,1068.0,9241.935483870968,8513.606243799271,58.0,69.90322580645162,14.354652729946336,5.161290322580645,4.447115655347403,5.161290322580645,4.447115655347403,10309.935483870968,8513.606243799273,639216.0,0.8210588534634496,0.19968566987155484,2.0,1.6612903225806452,4.919354838709677,10.0,62.0,0.03225806451612903,0.03225806451612903,0.0,0.8548387096774194,28.0,44.0,5.166666666666667,8.112903225806452,0.7741935483870968,573000.0,1.0,466.7142857142857,821.3645793779573,68.35714285714286,12.58828039537686,2.357142857142857,6.043407509602687,467.7142857142857,820.9541487109461,32740.0,0.9798319327731093,0.1285976540634851,3.0,1.5285714285714285,4.214285714285714,10.0,70.0,0.6285714285714286,0.07142857142857142,0.3142857142857143,0.9428571428571428,18.0,22.0,5.833333333333333,2.7142857142857144,0.0,32670.0,1,1
2,PRV51004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0805369127516777,350.13422818791946,689.9637540197715,71.26174496644295,12.936119542830856,1.429530201342282,4.783495037919234,352.2147651006711,689.5933443641472,52480.0,0.9456498111566992,0.21627268471029376,3.0,1.691275167785235,4.342281879194631,9.0,149.0,0.2550335570469799,0.12751677852348994,0.174496644295302,0.9261744966442953,23.0,34.0,12.416666666666666,2.5838926174496644,0.0,52170.0,0,1
3,PRV51005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1759656652360513,241.1244635193133,491.556391867259,69.52618025751073,13.34875991711843,1.088412017167382,4.107437471129281,244.30042918454936,491.4628165413643,284610.0,0.9521239620818271,0.1955248364769969,3.0,1.5613733905579399,4.335622317596567,9.0,1165.0,0.005150214592274678,0.005150214592274678,0.0034334763948497852,0.4248927038626609,45.0,95.0,97.08333333333333,2.5888412017167384,0.0,280910.0,0,1
4,PRV51007,1068.0,6333.333333333333,3511.884584284246,3.0,77.66666666666667,4.509249752822894,5.333333333333333,1.5275252316519468,5.333333333333333,1.5275252316519468,7401.333333333333,3511.884584284246,22204.0,0.8299550544044543,0.08462628303763557,1.0,1.6666666666666667,5.666666666666667,6.0,3.0,0.6666666666666666,0.3333333333333333,0.0,1.0,3.0,3.0,0.25,7.333333333333333,0.3333333333333333,19000.0,0.8695652173913043,213.18840579710144,447.2316571506486,67.89855072463769,14.78188968212776,0.7681159420289855,3.3831108532212313,214.05797101449275,447.03045968262387,14770.0,0.9777777777777779,0.12816791817980294,2.0,1.5217391304347827,4.101449275362318,8.0,69.0,0.11594202898550725,0.057971014492753624,0.10144927536231885,0.8115942028985508,11.0,13.0,5.75,2.7971014492753623,0.0,14710.0,1,1
5,PRV51008,1068.0,12500.0,12020.815280171308,2.0,50.5,31.81980515339464,4.0,1.4142135623730951,4.0,1.4142135623730951,13568.0,12020.815280171308,27136.0,0.8704350576584765,0.11479040674185585,1.0,1.5,3.5,4.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.16666666666666666,7.5,1.0,25000.0,4.390243902439025,259.2682926829268,404.03830414889154,75.78048780487805,10.132897401834164,1.4146341463414633,4.483166346211668,263.6585365853659,406.2065736639486,10810.0,0.9664099272571673,0.1601436148396219,2.0,1.5609756097560976,3.926829268292683,8.0,41.0,0.1951219512195122,0.07317073170731707,0.12195121951219512,0.8292682926829268,8.0,8.0,3.4166666666666665,2.951219512195122,0.0,10630.0,1,1
6,PRV51011,1068.0,5000.0,0.0,1.0,97.0,0.0,5.0,0.0,5.0,0.0,6068.0,0.0,6068.0,0.8239947264337508,0.0,1.0,2.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.08333333333333333,8.0,0.0,5000.0,5.2631578947368425,204.03508771929825,310.7873621322992,73.01754385964912,12.784604619941147,0.47368421052631576,2.353608651456424,209.2982456140351,313.17988697234375,11930.0,0.9403881055423705,0.21052969358770438,2.0,1.5263157894736843,4.543859649122807,9.0,57.0,0.47368421052631576,0.17543859649122806,0.2631578947368421,0.9122807017543859,12.0,11.0,4.75,2.43859649122807,0.0,11630.0,1,1
7,PRV51012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0833333333333335,351.875,707.8936578689371,73.54166666666667,10.396313449167133,3.7083333333333335,7.237486143251596,353.9583333333333,707.1932523004518,16990.0,0.9460784313725491,0.21667011174505654,2.0,1.7708333333333333,4.625,8.0,48.0,0.2916666666666667,0.0625,0.2708333333333333,0.6458333333333334,8.0,9.0,4.0,2.5625,0.0,16890.0,0,1
8,PRV51013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,323.4782608695652,471.622341339171,73.41304347826087,12.871287748674517,1.4565217391304348,4.415661630248659,328.4782608695652,478.33027823091425,15110.0,0.9625492599117763,0.16732795707491593,2.0,1.7391304347826086,4.413043478260869,8.0,46.0,0.1956521739130435,0.10869565217391304,0.08695652173913043,0.9565217391304348,10.0,12.0,3.8333333333333335,2.5434782608695654,0.0,14880.0,0,1
9,PRV51014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,349.3333333333333,822.9841969963621,70.2,14.997471051181739,0.4666666666666667,1.6760654528683694,353.3333333333333,821.8160434035116,10600.0,0.9100840336134454,0.26317926208357295,2.0,1.7666666666666666,4.333333333333333,9.0,30.0,0.23333333333333334,0.2,0.26666666666666666,0.8333333333333334,10.0,11.0,2.5,3.6666666666666665,0.0,10480.0,0,1
